City,Q1,MedAE,Q3,MAE,RMSE,R2,MAPE (%),MedAE (€),MSLE,Feature: Living area,Feature: Longitude,Feature: Latitude,Feature: Quarter,Feature: Year,Feature: Number of lots,Feature: Number of rooms,Feature: Land area,Feature: Postal code,Feature: Type of property_House,Feature: Type of property_Apartment,Feature: Nature of mutation_Sale,Feature: Nature of mutation_Sale of future completion,,,,,,,,,,,,,,,,,,,
Nantes,11292.34991,25575.23562,44467.0204,31922.75111,41948.83143,0.465392383,6513.5819,25575.23562,0.217576309,0.175935929,0.166137542,0.229018597,0.034617181,0.02607946,0.012913739,0.196003571,0.119056475,0.02461555,0.007553857,0.007530463,0.000267467,0.000270169,,,,,,,,,,,,,,,,,,,
Nice,12824.98712,28228.17419,52344.80309,37766.1755,51282.92369,0.494189392,14649.31054,28228.17419,0.279850073,0.436798877,0.211637325,0.150626789,0.041112462,0.028480938,0.026953699,0.030876817,0.016999885,0.042620851,0.005275315,0.005298715,0.001644881,0.001673445,,,,,,,,,,,,,,,,,,,
Montepiller,6809.514308,16295.85647,29511.70008,20876.16027,28002.68113,0.597390426,37.84430863,16295.85647,0.130077832,0.407799452,0.25632367,0.159242854,0.041235476,0.029839124,0.03504813,0.02512796,0.019233293,0.020086719,0.002956508,0.003086733,7.81E-06,1.23E-05,,,,,,,,,,,,,,,,,,,
Marseille,9502.1622,21337.34677,38723.02301,27660.76426,36997.54347,0.561144234,26523.27549,21337.34677,0.463623256,0.285242043,0.183941879,0.185457032,0.036780752,0.028266959,0.0349033,0.031484054,0.057723973,0.14682642,0.004358708,0.004184171,0.000418422,0.000412288,,,,,,,,,,,,,,,,,,,
Toulose,7341.54835,16880.04967,33094.99728,23893.34974,33100.16179,0.557504034,11207.62345,16880.04967,0.342862121,0.328592892,0.186180328,0.18704507,0.035727041,0.028090499,0.019099643,0.031059465,0.10516294,0.051548452,0.010735043,0.010912721,0.002995995,0.002849913,,,,,,,,,,,,,,,,,,,
Bordeaux,10617.51321,25179.31247,46933.21195,33255.69367,45347.65045,0.5692376,10934.57967,25179.31247,0.399563373,0.269398222,0.285961074,0.153716342,0.028393738,0.022194251,0.01063401,0.058254925,0.122046857,0.029235121,0.009632742,0.009526327,0.000493853,0.000512539,,,,,,,,,Variable ,Statistic ,Paris ,Marseille ,Lyon ,Toulouse ,Nice ,Nantes ,Montpellier ,Bordeaux ,Lille
Lyon,11630.04257,25000.01387,45434.65581,34048.5904,47582.89904,0.528130791,57465.05811,25000.01387,0.767965374,0.524613631,0.124404917,0.153238238,0.040341593,0.027580015,0.029365134,0.028650305,0.035546571,0.020568411,0.000813395,0.000925572,0.006887893,0.007064325,,,,,,,,,,count,278960,100271,71757,77057,63711,50173,43629,47828,42915
Paris,19127.82577,44244.65856,86108.68645,66961.9626,99657.34616,0.525381961,55064.65962,44244.65856,1.176883049,0.591855963,0.111224382,0.130185993,0.032560036,0.023548682,0.031536556,0.021780616,0.015652166,0.040956374,0.000276657,0.000290617,6.69E-05,6.50E-05,,,,,,,,,,,,,,,,,,,
Lille,"9,543.08","21,134.41","36,354.29","25,611.42","32,832.84",0.430237284,17932.51,"21,134.41",0.512526663,0.191223,0.16294,0.260331,0.032179,0.023113,0.007405,0.037228,0.186736,0.062522,0.014741,0.014596,0.00342,0.003566,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City,Q1,MedAE,MAE,Q3,RMSE,MSLE,R2,,City ,Q1 ,MedAE ,MAE ,Q3 ,RMSE ,MSLE ,R2,,City ,Q1 ,MedAE ,MAE ,Q3 ,RMSE ,MSLE ,R2,,City ,MedAE ,RMSE ,R2,,,,,,,,,,,
Nantes,11292.34991,25575.23562,31922.75111,44467.0204,41948.83143,0.217576309,0.465392383,,PARIS ,25 031 ,59 203 ,106 390 ,124 831 ,179 718 ,0.2,0.7,,PARIS ,19128,44245,66962,86109,99657,1.18,0.53,,PARIS ,-0.252661883,488.4%,-24.9%,,,,,,,,,,,
Nice,12824.98712,28228.17419,37766.1755,52344.80309,51282.92369,0.279850073,0.494189392,,MARSEILLE ,9 808 ,23 614 ,37 640 ,49 315 ,57 290 ,0.12,0.76,,MARSEILLE ,9502,21337,27661,38723,36998,0.46,0.56,,MARSEILLE ,,286.4%,-26.2%,,,,,,,,,,,
Montepiller,6809.514308,16295.85647,20876.16027,29511.70008,28002.68113,0.130077832,0.597390426,,LYON ,12 368 ,29 891 ,50 671 ,62 814 ,82 019 ,0.11,0.71,,LYON ,11630,25000,34049,45435,47583,0.77,0.53,,LYON ,,598.2%,-25.6%,,,,,,,,,,,
Marseille,9502.1622,21337.34677,27660.76426,38723.02301,36997.54347,0.463623256,0.561144234,,TOULOUSE ,6 456 ,17 144 ,30 776 ,38 614 ,50 576 ,0.07,0.78,,TOULOUSE ,7342,16880,23893,33095,33100,0.34,0.56,,TOULOUSE ,,389.8%,-28.5%,,,,,,,,,,,
Toulose,7341.54835,16880.04967,23893.34974,33094.99728,33100.16179,0.342862121,0.557504034,,NICE ,12 681 ,29 258 ,45 509 ,59 290 ,68 120 ,0.11,0.68,,NICE ,12825,28228,37766,52345,51283,0.28,0.49,,NICE ,,154.4%,-27.3%,,,277566,88706,69979,67692,60540,40569,39371,37944,34220
Bordeaux,10617.51321,25179.31247,33255.69367,46933.21195,45347.65045,0.399563373,0.5692376,,NANTES ,9 623 ,23 361 ,38 120 ,49 638 ,59 120 ,0.08,0.79,,NANTES ,11292,25575,31923,44467,41949,0.22,0.47,,NANTES ,,172.0%,-41.1%,,,1394,11565,1778,9365,3171,9604,4258,9884,8695
Lyon,11630.04257,25000.01387,34048.5904,45434.65581,47582.89904,0.767965374,0.528130791,,MONTPELLIER ,7 522 ,18 119 ,29 263 ,37 318 ,45 734 ,0.09,0.74,,MONTPELLIER ,6810,16296,20876,29512,28003,0.13,0.60,,MONTPELLIER ,,44.5%,-19.3%,Residence Type: Apartment ,count ,277 566 ,88 706 ,69 979 ,67 692 ,60 540 ,40 569 ,39 371 ,37 944 ,34 220
Paris,19127.82577,44244.65856,66961.9626,86108.68645,99657.34616,1.176883049,0.525381961,,BORDEAUX ,14 359 ,35 234 ,58 182 ,75 695 ,90 154 ,0.1,0.79,,BORDEAUX ,10618,25179,33256,46933,45348,0.40,0.57,,BORDEAUX ,,299.6%,-27.9%,Residence Type: House ,count ,1 394 ,11 565 ,1 778 ,9 365 ,3 171 ,9 604 ,4 258 ,9 884 ,8 695
Lille,"9,543.08","21,134.41","25,611.42","36,354.29","32,832.84",0.512526663,0.430237284,,LILLE ,7 518 ,19 577 ,32 339 ,41 096 ,51 414 ,0.08,0.78,,LILLE ,9543,21134,25611,36354,32833,0.51,0.43,,LILLE ,,540.7%,-44.8%,Sale Type: Sale ,count ,439 450 ,153 725 ,122 587 ,128 905 ,106 470 ,84 576 ,74 930 ,79 544 ,66 504
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale Type: Before Completion ,count ,11 419 ,40 056 ,24 518 ,43 954 ,13 065 ,28 350 ,26 129 ,20 846 ,12 916
,,,,,,,,City,Living area,Longitude,Latitude,Quarter,Year,Number of lots,Number of rooms,Land area,Postal code,Type of property_House,Type of property_Apartment,Nature of mutation_Sale,Nature of mutation_Sale of future completion,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Nantes,0.18,0.17,0.23,0.03,0.03,0.01,0.20,0.12,0.02,0.01,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Nice,0.44,0.21,0.15,0.04,0.03,0.03,0.03,0.02,0.04,0.01,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Montepiller,0.41,0.26,0.16,0.04,0.03,0.04,0.03,0.02,0.02,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Marseille,0.29,0.18,0.19,0.04,0.03,0.03,0.03,0.06,0.15,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Toulose,0.33,0.19,0.19,0.04,0.03,0.02,0.03,0.11,0.05,0.01,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Bordeaux,0.27,0.29,0.15,0.03,0.02,0.01,0.06,0.12,0.03,0.01,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Lyon,0.52,0.12,0.15,0.04,0.03,0.03,0.03,0.04,0.02,0.00,0.00,0.01,0.01,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Paris,0.59,0.11,0.13,0.03,0.02,0.03,0.02,0.02,0.04,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Lille,0.19,0.16,0.26,0.03,0.02,0.01,0.04,0.19,0.06,0.01,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,City,Nantes,Nice,Montepiller,Marseille,Toulose,Bordeaux,Lyon,Paris,Lille,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Living area,0.18,0.44,0.41,0.29,0.33,0.27,0.52,0.59,0.19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Longitude,0.17,0.21,0.26,0.18,0.19,0.29,0.12,0.11,0.16,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Latitude,0.23,0.15,0.16,0.19,0.19,0.15,0.15,0.13,0.26,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Quarter,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Year,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Number of lots,0.01,0.03,0.04,0.03,0.02,0.01,0.03,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Number of rooms,0.20,0.03,0.03,0.03,0.03,0.06,0.03,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Land area,0.12,0.02,0.02,0.06,0.11,0.12,0.04,0.02,0.19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Postal code,0.02,0.04,0.02,0.15,0.05,0.03,0.02,0.04,0.06,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Type of property_House,0.01,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.01,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Type of property_Apartment,0.01,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.01,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Nature of mutation_Sale,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Nature of mutation_Sale of future completion,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
